date,season,team1,team2,elo1,elo2,elo_prob1,score1,score2
1990-12-16,1990,den,sdg,1436.118,1506.937,0.4916265687685924,20,10
1990-12-16,1990,rai,cin,1573.854,1492.399,0.6991098740848299,24,7
1990-12-16,1990,phi,gnb,1585.367,1472.586,0.7356323460270451,31,0
1990-12-16,1990,nyj,clt,1364.952,1446.497,0.476207812791697,21,29
1990-12-16,1990,tam,min,1375.413,1566.983,0.3255030135357897,26,13
1990-12-17,1990,ram,sfo,1523.175,1728.59,0.308254213914192,10,26
1990-12-22,1990,clt,was,1467.268,1589.977,0.4177054968149221,35,28
1990-12-22,1990,min,rai,1529.209,1590.162,0.5058238377780052,24,28
1990-12-22,1990,gnb,det,1455.632,1470.477,0.5716816096838634,17,24
1990-12-23,1990,pit,cle,1554.692,1354.31,0.8216639196845025,35,0
1990-12-23,1990,nyj,nwe,1344.182,1266.088,0.6950244209394918,42,7
1990-12-23,1990,sea,den,1508.323,1460.563,0.6568073365471709,17,12
1990-12-23,1990,sdg,kan,1482.492,1563.823,0.4765150951854521,21,24
1990-12-23,1990,atl,ram,1336.448,1506.756,0.3529261555954456,20,13
1990-12-23,1990,buf,mia,1685.856,1605.629,0.6976207965104295,24,14
1990-12-23,1990,chi,tam,1547.74,1413.187,0.7592769338003839,27,14
1990-12-23,1990,cin,oti,1476.091,1587.208,0.4340193451228467,40,20
1990-12-23,1990,crd,nyg,1390.646,1650.761,0.2454233423945606,21,24
1990-12-23,1990,sfo,nor,1745.009,1511.056,0.8482462450837125,10,13
1990-12-23,1990,phi,dal,1602.321,1442.61,0.7847458521467732,17,3
1990-12-29,1990,crd,phi,1384.395,1612.899,0.280657066550666,21,23
1990-12-29,1990,chi,kan,1559.389,1576.937,0.5678674526148225,10,21
1990-12-30,1990,min,sfo,1512.897,1717.792,0.3088928649223457,17,20
1990-12-30,1990,rai,sdg,1606.474,1469.378,0.7619423621452122,17,12
1990-12-30,1990,tam,nyj,1401.538,1364.705,0.6424922856529718,14,16
1990-12-30,1990,sea,det,1520.021,1494.807,0.6269872324163341,30,10
1990-12-30,1990,was,buf,1565.108,1699.459,0.4015006114739755,29,14
1990-12-30,1990,oti,pit,1552.007,1566.098,0.572744068748692,34,14
1990-12-30,1990,nwe,nyg,1245.565,1657.011,0.1198023178580202,10,13
1990-12-30,1990,mia,clt,1592.025,1492.137,0.7209485550176513,23,17
1990-12-30,1990,den,gnb,1448.864,1431.301,0.6166305306397533,22,13
1990-12-30,1990,cin,cle,1511.292,1342.905,0.7930622291942259,21,14
1990-12-30,1990,atl,dal,1364.712,1432.032,0.4966613012380498,26,7
1990-12-31,1990,nor,ram,1538.273,1478.492,0.6722319335089462,20,17
1991-01-05,1990,mia,kan,1602.128,1605.781,0.5873792297581992,17,16
1991-01-05,1990,phi,was,1618.639,1599.376,0.6189412558747216,6,20
1991-01-06,1990,cin,oti,1519.073,1577.435,0.5095516877224332,41,14
1991-01-06,1990,chi,nor,1530.545,1546.873,0.5695899983157807,16,6
1991-01-12,1990,sfo,was,1725.845,1634.234,0.7112628688152636,28,10
1991-01-12,1990,buf,mia,1665.191,1607.693,0.669329747457398,44,34
1991-01-13,1990,nyg,chi,1659.881,1550.739,0.7315384208498928,31,3
1991-01-13,1990,rai,cin,1614.287,1551.66,0.6758314401633048,20,10
1991-01-20,1990,buf,rai,1680.213,1628.981,0.6612982846215919,51,3
1991-01-20,1990,sfo,nyg,1741.718,1676.634,0.6789223348747235,13,15
1991-01-27,1990,nyg,buf,1692.489,1705.253,0.4816393868842826,20,19
1991-09-01,1991,den,cin,1478.92,1526.311,0.525319711824968,45,14
